Ball Number,Score,Comment
4.3,0,"Alauddin Babu to Yasir Ali Chowdhury, no run, Dot ball !! fast ball, good length, on the off stump, goes forward, plays defensive shot to the mid off."
4.3,1wd,"Alauddin Babu to Yasir Ali Chowdhury, 1 wide, Wide Ball !! inswinger good length on the leg stump, That sails wide of the leg-stump, leaving Yasir Ali Chowdhury with no chance to make contact. The umpire calls it a wide."
4.2,0,"Alauddin Babu to Yasir Ali Chowdhury, no run, Dot ball !! fast ball, full length, on the off stump, goes forward, plays defensive shot."
4.1,1,"Alauddin Babu to Anamul Haque Bijoy, 1 run, fast ball, good length, on the off stump, goes back, plays pull, towards the deep mid wicket for 1 run."
3.6,0,"Mukidul Islam to Yasir Ali Chowdhury, no run, Dot ball !! fast ball, good length, on the stumps, Yasir Ali Chowdhury goes forward, tucks defensive shot toward the fielder at short mid wicket, who halts the ball."
3.5,W,"Mukidul Islam to Jishan Alam, no run, c T Perera b Mukidul Islam, Caught out!! fast ball back of length on the stumps, Jishan Alam goes back to take the gamble with pull towards mid on, in the air!! and is perfectly caught by Thisara Perera. Leading to a soft dismissal. c T Perera b Mukidul Islam"
3.4,0,"Mukidul Islam to Jishan Alam, no run, Dot ball !! fast ball, good length, on the stumps, goes forward, plays defensive shot."
3.3,1,"Mukidul Islam to Anamul Haque Bijoy, 1 run, fast ball, back of length, on the off stump, goes forward, plays defensive shot, towards the deep cover for 1 run."
3.2,0,"Mukidul Islam to Anamul Haque Bijoy, no run, Dot ball !! inswinger, good length, on the stumps, Anamul Haque Bijoy goes back to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
3.1,4,"Mukidul Islam to Anamul Haque Bijoy, Four, Four !! fast ball, good length, on the off stump. Anamul Haque Bijoy goes forward, hits drive in the gap towards deep cover, and ball finds the ropes in a flash for four."
2.6,0,"Mustafizur Rahman to Jishan Alam, no run, Dot ball !! outswinger, good length, on the stumps, Jishan Alam goes back, tucks defensive shot toward the fielder at short cover, who halts the ball."
2.5,0,"Mustafizur Rahman to Jishan Alam, no run, Dot Ball !! outswinger, back of length, on the stumps, and Jishan Alam hangs on and tries to hit pull, but misses it completely as ball beats the bat, goes to the keeper."
2.4,0,"Mustafizur Rahman to Jishan Alam, no run, Dot ball !! inswinger, good length, on the stumps, Jishan Alam goes back and slash defensive shot towards mid off, but the fielder reacts promptly and blocks it right away."
